#,Product,Grade,Vat Type,Spec.,Battery Health,Qty, Offer,Order Qty, Total,,Notes:
1,Accessory Accessory - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,16, £ -   ,0, £ -   ,,"Please be introduced to the new grading: 1)Pristine Sealed - Brand New Sealed devices; 2)Pristine A+ - Handset only, As New condition; 3) Pristine A+ Open Box - Device in Opened Box, As New condition."
2,Accessory Accessory - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,5, £ -   ,0, £ -   ,,
3,Accessory Accessory - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,4, £ -   ,0, £ -   ,,
4,Alcatel_TCL 9132G TCL Tab 8 4G 32GB Black - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
5,Alcatel_TCL Linkzone 4G Mobile MiFi Black - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,"This Auction contains some foreign spec products such as US, China / HK, Canada/Japan Spec. Marked within the product line description and in ""Spec."" column E."
6,Alcatel_TCL T431D TCL 403 32GB Purple - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
7,All Manufacturers All Products - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,2, £ -   ,0, £ -   ,,"Some items are above 80% Battery Health - these are marked as ""80%+ Battery Health"" within the product line description and stated in the column F - ""Battery Health"" - we are willing to separately pick these devices into the winning orders for the right offer."
8,All Manufacturers All Products - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,3, £ -   ,0, £ -   ,,
9,Apple A1523 A1722 A1602 AirPods (1) - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
10,Apple A1603 (Pencil 1st Gen) White - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
11,Apple A1603 (Pencil 1st Gen) White - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
12,Apple A1858 Watch 3 Alu SpGr - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
13,Apple A1889 Watch 3 Alu Silver - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
14,Apple A1977 Watch 4 Silv - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
15,Apple A2032 A2031 A1602 AirPods (2) - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
16,Apple A2032 A2031 A1602 AirPods (2) - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,5, £ -   ,0, £ -   ,,
17,Apple A2032 A2031 A1602 AirPods (2) - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,14, £ -   ,0, £ -   ,,
18,Apple A2032 A2031 A1602 AirPods (2) - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,17, £ -   ,0, £ -   ,,
19,Apple A2083 A2084 A2190 AirPods Pro - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
20,Apple A2083 A2084 A2190 AirPods Pro - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
21,Apple A2083 A2084 A2190 AirPods Pro - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
22,Apple A2083 A2084 A2190 AirPods Pro - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,42, £ -   ,0, £ -   ,,
23,Apple A2083 A2084 A2190 AirPods Pro - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
24,Apple A2093 Watch 5 Aluminium SpGr - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
25,Apple A2096 Airpods Max Space Grey - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
26,Apple A2156 Watch 5 Aluminium Gold - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,4, £ -   ,0, £ -   ,,
27,Apple A2156 Watch 5 Aluminium Silver - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
28,Apple A2187 AirTag 1 Pack - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,4, £ -   ,0, £ -   ,,
29,Apple A2292 Watch 6 Aluminum Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
30,Apple A2337 M1 8/7 8 256GB Slv - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
31,Apple A2338 M1 8/8 8 512GB Slv - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
32,Apple A2355 Watch SE Aluminium SpGr - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
33,Apple A2355 Watch SE Aluminium SpGr - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
34,Apple A2374 HomePod Mini White - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
35,Apple A2375 Watch 6 Aluminum Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
36,Apple A2375 Watch 6 Aluminum Gold - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,3, £ -   ,0, £ -   ,,
37,Apple A2375 Watch 6 Aluminum Gold - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
38,Apple A2375 Watch 6 Aluminum Silver - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
39,Apple A2375 Watch 6 Aluminum SpGr - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
40,Apple A2376 Watch 6 Aluminum Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
41,Apple A2376 Watch 6 Aluminum Red - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
42,Apple A2376 Watch 6 StnStl Graphite - Grade A - Marginal Vat - Generic / Codes,Grade A,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
43,Apple A2473 Watch 7 Aluminium Mdnght - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
44,Apple A2476 Watch 7 Aluminium Blue - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
45,Apple A2476 Watch 7 Aluminium Blue - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
46,Apple A2476 Watch 7 Aluminium Green - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
47,Apple A2476 Watch 7 Aluminium Green - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
48,Apple A2476 Watch 7 Aluminium Mdnght - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
49,Apple A2476 Watch 7 Aluminium Mdnght - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,3, £ -   ,0, £ -   ,,
50,Apple A2476 Watch 7 Aluminium Strlgt - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,4, £ -   ,0, £ -   ,,
51,Apple A2478 Watch 7 Aluminium Blue - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
52,Apple A2478 Watch 7 Aluminium Mdnght - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
53,Apple A2478 Watch 7 Aluminium Strlgt - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
54,Apple A2538 Pencil Pro - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,11, £ -   ,0, £ -   ,,
55,Apple A2565 A2564 A2566 (Airpods 3) - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,2, £ -   ,0, £ -   ,,
56,Apple A2565 A2564 A2566 (Airpods 3) - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,3, £ -   ,0, £ -   ,,
57,Apple A2565 A2564 A2566 (Airpods 3) - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
58,Apple A2565 A2564 A2566 (Airpods 3) - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,11, £ -   ,0, £ -   ,,
59,Apple A2565 A2564 A2566 (Airpods 3) - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,9, £ -   ,0, £ -   ,,
60,Apple A2565 A2564 A2897 Airpods (3) - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,4, £ -   ,0, £ -   ,,
61,Apple A2565 A2564 A2897 Airpods (3) - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,4, £ -   ,0, £ -   ,,
62,Apple A2565 A2564 A2897 Airpods (3) - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,22, £ -   ,0, £ -   ,,
63,Apple A2699 A2698 A2700 AirPodsPro 2 - Grade A - Marginal Vat - Generic / Codes,Grade A,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
64,Apple A2699 A2698 A2700 AirPodsPro 2 - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,2, £ -   ,0, £ -   ,,
65,Apple A2699 A2698 A2700 AirPodsPro 2 - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,7, £ -   ,0, £ -   ,,
66,Apple A2699 A2698 A2700 AirPodsPro 2 - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,15, £ -   ,0, £ -   ,,
67,Apple A2722 Watch SE2 Alumi Midnight - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
68,Apple A2722 Watch SE2 Alumi Starlght - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
69,Apple A2722 Watch SE2 Alumi Starlght - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
70,Apple A2722 Watch SE2 Alumi Starlght - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,2, £ -   ,0, £ -   ,,
71,Apple A2723 Watch SE2 Alumi Midnight - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
72,Apple A2723 Watch SE2 Alumi Midnight - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
73,Apple A2723 Watch SE2 Alumi Silver - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
74,Apple A2723 Watch SE2 Alumi Starlght - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
75,Apple A2723 Watch SE2 Alumi Starlght - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
76,Apple A2725 Watch SE2 Alumi Starlght - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
77,Apple A2770 Watch 8 Alumi Starlight - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
78,Apple A2771 Watch 8 Alumi Midnight - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
79,Apple A2771 Watch 8 Alumi Starlight - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
80,Apple A2773 Watch 8 Alumi Starlight - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
81,Apple A2775 Watch 8 Alumi Midnight - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
82,Apple A2775 Watch 8 Alumi Red - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
83,Apple A2775 Watch 8 StnStl Graphite - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
84,Apple A2974 Magic Keyboard Black - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
85,Apple A2978 Watch 9 Alumi Midnight - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
86,Apple A2978 Watch 9 Alumi Pink - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
87,Apple A2978 Watch 9 Alumi Starlight - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
88,Apple A2980 Watch 9 Alumi Midnight - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,2, £ -   ,0, £ -   ,,
89,Apple A2986 Watch Ultra2 Titn Naturl - Grade A - Marginal Vat - Generic / Codes,Grade A,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
90,Apple A2997 Watch 10 Alumi Jet Black - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,10, £ -   ,0, £ -   ,,
91,Apple A2997 Watch 10 Alumi Jet Black - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
92,Apple A2997 Watch 10 Alumi Jet Black - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,3, £ -   ,0, £ -   ,,
93,Apple A2997 Watch 10 Alumi Jet Black - Pristine A+ Open Box - Standard Vat - Generic / Codes,Pristine A+ Open Box,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
94,Apple A2997 Watch 10 Alumi Rose Gold - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,6, £ -   ,0, £ -   ,,
95,Apple A2997 Watch 10 Alumi Rose Gold - Pristine A+ Open Box - Standard Vat - Generic / Codes,Pristine A+ Open Box,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
96,Apple A2999 Watch 10 Alumi Jet Black - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,3, £ -   ,0, £ -   ,,
97,Apple A2999 Watch 10 Alumi Jet Black - Grade B - Standard Vat - Generic / Codes,Grade B,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
98,Apple A2999 Watch 10 Alumi Jet Black - Grade C - Standard Vat - Generic / Codes,Grade C,Standard,UK / EU,Untested,3, £ -   ,0, £ -   ,,
99,Apple A2999 Watch 10 Alumi Jet Black - Pristine A+ Open Box - Standard Vat - Generic / Codes,Pristine A+ Open Box,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
100,Apple A2999 Watch 10 Alumi Rose Gold - Grade A - Standard Vat - Generic / Codes,Grade A,Standard,UK / EU,Untested,2, £ -   ,0, £ -   ,,
101,Apple A2999 Watch 10 Alumi Rose Gold - Pristine A+ Open Box - Standard Vat - Generic / Codes,Pristine A+ Open Box,Standard,UK / EU,Untested,1, £ -   ,0, £ -   ,,
102,Apple A3003 Watch 10 Alumi Jet Black - Grade B - Marginal Vat - Generic / Codes,Grade B,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
103,Apple A3003 Watch 10 Alumi Jet Black - Grade C - Marginal Vat - Generic / Codes,Grade C,Marginal,UK / EU,Untested,1, £ -   ,0, £ -   ,,
